Project name,Country,Partners,Project type,Announcement,Operation,Project Status,Announced capacity (Mt CO2/yr),Estimated capacity by IEA (Mt CO2/yr),Sector,Fate of carbon,Part of CCUS hub,Region
In Salah,Algeria,"bp, Sonatrach, Equinor",Full chain,,2004,Suspended/cancelled/decommissioned,0.5,0.5,Natural gas processing/LNG,Dedicated storage,,Africa
Ince Bioenergy Carbon Capture and Storage (InBECCS) scaleup,United Kingdom,"Bioenergy Infrastructure Group (Evero), Peel NRE, Mitsubishi HI",Capture,2021,2029,Planned,0.25,0.25,Power and heat,Dedicated storage,Liverpool Bay CO2 storage,Europe & Central Asia
Indian Oil Corporation Koyali refinery,India,"Indian Oil Corporation (IOCL), Dastur, Air Liquide and BEG for FEED",Full chain,2021,2025,Planned,0.7,0.7,Other fuel transformation,Mixed,,East Asia & Pacific
Industrial Carbon Capture (ICC) Stanlow,United Kingdom,"Essar Energy Transition (Essar Oil), Kent (pre-FEED), MHI (FEED), Topsoe (tech partner)",Capture,2019,2028,Planned,0.86,0.86,Other fuel transformation,Dedicated storage,Liverpool Bay CO2 storage (Hynet),Europe & Central Asia
Ineos Antwerp CCS,Belgium,INEOS,Capture,2021,2030,Planned,,,Chemicals,Unknown/unspecified,,Europe & Central Asia
INEOS Grangemouth refinery and hydrogen production,United Kingdom,"INEOS, Petroineos",Capture,2021,2030,Planned,1,1,Chemicals,Dedicated storage,Acorn CCS,Europe & Central Asia
Innovative Integration of Carbon Capture for Clean Power (ALB),Canada,Heartland Generation Ltd,Capture,2022,,Planned,,,Power and heat,Unknown/unspecified,Battle River Carbon Hub (ALB),North America
"Integratred clean ammonia production, Port of Corpus Christi (TX) phase 1",United States,"Rwe, Lotte Chemical Corporation, Mitsubishi Corporation (JSA)",Capture,2023,2030,Planned,,,Hydrogen or ammonia,Unknown/unspecified,,North America
"Integratred clean ammonia production, Port of Corpus Christi (TX) phase 2",United States,"Rwe, Lotte Chemical Corporation, Mitsubishi Corporation (JSA)",Capture,2023,,Planned,10,10,Hydrogen or ammonia,Unknown/unspecified,,North America
Itochu/Petronas ammonia project (ALB),Canada,"Itochu Corporation, Petronas Energy Canada Ltd, and Inter Pipeline Ltd.",Full chain,2021,2027,Planned,,,Hydrogen or ammonia,Dedicated storage,,North America
James M  Barry Electric Generating Plant CCUS (AL),United States,"Southern Company Services, Linde Gas North America LLC, GE Gas Power",Capture,2022,2030,Planned,0.5,0.5,Power and heat,Unknown/unspecified,,North America
Javelina Refinery CCS (TX),United States,"Port of Corpus Christi Authority, Howard Midstream",Capture,2021,,Planned,,,Hydrogen or ammonia,Unknown/unspecified,,North America
Jiling Petrochemical CCUS (Nanjing refinery) (Jiangsu) phase 1,China,"Sinopec (Nanjing refinery), Jiling Petrochemical, Jiangsu oilfield",Full chain,2021,2023,Operational,0.1,0.1,Other fuel transformation,EOR,Jiangsu oilfield,East Asia & Pacific
Joint study CCS value chain Japan Malaysia phase 1 (M3 CCS Project),Japan,"Japan Petroleum Exploration Co., Ltd. (JAPEX), JGC Holdings Corporation (JGC HD), Kawasaki Kisen Kaisha, Ltd. (“K” LINE), Petronas CCS Ventures",T&S,2022,2028,Planned,2,2,T&S,Dedicated storage,,East Asia & Pacific
Joint study CCS value chain Japan Malaysia phase 2,Japan,"Japan Petroleum Exploration Co., Ltd. (JAPEX), JGC Holdings Corporation (JGC HD), Kawasaki Kisen Kaisha, Ltd. (“K” LINE), Petronas CCS Ventures",T&S,2022,2030,Planned,8,8,T&S,Dedicated storage,,East Asia & Pacific
Joint study CCS value chain Japan Malaysia steel,Japan,"Japan Petroleum Exploration Co., Ltd. (JAPEX), JGC Holdings Corporation (JGC HD), Kawasaki Kisen Kaisha, Ltd. (“K” LINE), and JFE Steel Corporation, Petronas",Capture,2022,,Planned,,,Iron and steel,Dedicated storage,,East Asia & Pacific
J-Power Sumitomo joint feasibility clean hydrogen Latrobe Valley (VI),Australia,"J-Power, Sumitomo corporation",Full chain,2023,,Planned,,,Hydrogen or ammonia,Dedicated storage,,East Asia & Pacific
JSA Pertamina Chevron East Kalimantan,Indonesia,"Pertamina, Chevron",Storage,2023,,Planned,,,Storage,Unknown/unspecified,,East Asia & Pacific
Jubail CCS Hub agreement (*capture sources under evaluation),Saudi Arabia,"Saudi Aramco, SLB, Linde",T&S,2022,2027,Planned,9,9,T&S,Dedicated storage,Jubail CCS hub,Middle East & North Africa
K+S Potash CCS,Canada,"K+S Potash Canada, Whitecap Resources",Capture,2023,,Planned,,,Chemicals,Dedicated storage,Southeast Saskatchewan CCUS Hub (Belle Plaine and Weyburn),North America
K6 Program- Lumbres cement plant,France,"EQIOM, Air Liquide, France Industries, VDZ",Capture,2021,2028,Planned,0.81,0.81,Cement,Dedicated storage,,Europe & Central Asia
Kairos@C,Belgium,"Air Liquide, BASF",Capture,2021,2027,Planned,1.42,1.42,Chemicals,Dedicated storage,,Europe & Central Asia
Kalundborg refinery project,Denmark,"Kalundborg, Aker Carbon Capture ",Capture,2021,2030,Planned,,,Other fuel transformation,Unknown/unspecified,,Europe & Central Asia
Karamay Dunhua methanol plant (Xinjiang),China,Dunhua Oil Company,Full chain,,2015,Operational,0.1,0.1,Chemicals,EOR,,East Asia & Pacific
Keadby 3 Carbon Capture Power Station,United Kingdom,"SSE Thermal, Equinor, Aker Solutions (FEED), Siemens Energy and Doosan Babcock; Fugro (ground investigation contract)",Capture,2020,2028,Planned,1.5,1.5,Power and heat,Dedicated storage,Northern Endurance Partnership,Europe & Central Asia
Kemper county CCUS (MS),United States,Mississippi Power (Southern Company),Full chain,,2017,Suspended/cancelled/decommissioned,3,3,Power and heat,EOR,,North America
Kern River Eastridge cogeneration plant San Joaquin Valley (CA),United States,"Chevron, Fluor (FEED, tech licensing)",Capture,2022,,Planned,,,Power and heat,Dedicated storage,,North America
KeyState Natural Gas Synthesis (ARCH2) (PA),United States,KeyState Energy,Full chain,2021,2026,Planned,0.5,0.5,Chemicals,Dedicated storage,,North America
KOdeCO project,Croatia,"Holcim Group, Air Liquide",Capture,2023,2028,Planned,0.366,0.366,Cement,Dedicated storage,,Europe & Central Asia
Kotka power (Kotka),Finland,"RenGas, Kotkan Energia",CCU,2021,2026,Planned,0.11,0.11,Power and heat,Use,,Europe & Central Asia
Kredsløb Energipark Lisbjerg,Denmark,Kredsløb,Capture,2023,2030,Planned,0.36,0.36,Power and heat,Dedicated storage,,Europe & Central Asia
Kutai Basin CCUS hub,Indonesia,Pertamina,Storage,2022,2030,Planned,,,Storage,Dedicated storage,Kutai Basin CCUS hub,East Asia & Pacific
Kutina Petrokemija ammonia (ICORD project?),Croatia,"INA, MOL Group",Capture,2021,2027,Planned,0.19,0.19,Chemicals,Unknown/unspecified,Zutica and Ivanic grad EOR extension,Europe & Central Asia
KVA Linth Waste-to-Energy Niederurnen,Swizterland,"KVA Linth, VBSA, Capsol (feasibility)",Capture,2020,2025,Planned,0.1,0.1,Power and heat,Unknown/unspecified,,Europe & Central Asia
Kymijärvi power (Lahti),Finland,"RenGas, Lahti Energia",CCU,2021,2026,Planned,0.11,0.11,Power and heat,Use,,Europe & Central Asia
L10 CCS,Netherlands,"Eni (following acquisition of Neptune Energy), EBN, ExxonMobil, Tenaz Energy",T&S,2020,2028,Planned,5,5,T&S,Dedicated storage,Aramis/L10 CCS,Europe & Central Asia
LA CCS (LA),United States,DT Midstream Holdings LLC,Storage,2022,,Planned,1,1,Storage,Unknown/unspecified,,North America
Labarge Shute Creek Gas Processing Plant 1.2 Mtpa expansion (WY),United States,ExxonMobil ,Full chain,2021,2025,Under construction,1.1,1,Natural gas processing/LNG,Unknown/unspecified,,North America
Labarge Shute Creek Gas Processing Plant 2010 expansion (WY),United States,"ExxonMobil, Fleur de Lis Energy LLC/Renee Acquisition LLC ; Chevron; Devon Energy Denbury",Full chain,2008,2010,Operational,3.5,3.5,Natural gas processing/LNG,EOR,,North America
Labarge Shute Creek Gas Processing Plant original (WY),United States,"ExxonMobil, Fleur de Lis Energy LLC/Renee Acquisition LLC ; Chevron; Devon Energy Denbury",Full chain,1984,1986,Operational,3.5,3.5,Natural gas processing/LNG,EOR,,North America
LafargeHolcim Ste Genevieve plant (MO),United States,"University of Illinois, Holcim Group, Air Liquide",Capture,2021,,Planned,2.8,2.8,Cement,Dedicated storage,,North America
Lake Charles low carbon ammonia (LA),United States,"Proman, Mitsubishi",Capture,2023,,Planned,,,Hydrogen or ammonia,Unknown/unspecified,,North America
Lake Charles Methanol (LA),United States,"Proman, ExxonMobil (formerly Denbury), Fluor",Capture,2009,2027,Planned,4.1,4.2,Chemicals,Mixed,,North America
Lake Charles Power Station Integrated CO2 Capture Project (LA),United States,"Entergy, Talos, DOE Office of Clean Energy Demonstrations",Full chain,2023,,Planned,2.5,2.5,Power and heat,Dedicated storage,,North America
Lamont Carbon Hub (ALB),Canada,"Wolf Midstream, Whitecap Resources",Storage,2023,2024,Planned,2.5,3,Storage,Dedicated storage,"Alberta Carbon Trunk Line (Transport), Lamont Carbon Hub (Storage)",North America
Leo (MS),United States,ExxonMobil (formerly Denbury carbon solutions),Storage,2022,2025,Planned,7.5,10,Storage,Dedicated storage,Denbury NEJD Pipeline (MS-LA)/Leo (MS),North America
LG&E Cane Run NGCC CR7 (KY),United States,"LG&E Cane Run, Electric Power Research Institute (FEED), University of Kentucky (tech), DOE (FEED funding)",Capture,2022,,Planned,1.7,1.7,Power and heat,Unknown/unspecified,,North America
Libra  (LA),United States,"Lapis Energy (50% permitting process pre-FID), ExxonMobil (formerly Denbury carbon solutions) (50%; operatorship managing construction)",Storage,2023,2027,Planned,7.5,10,Storage,Unknown/unspecified,,North America
Lighthouse Green Fuels,United Kingdom,Alfanar,Capture,2021,2028,Planned,,,Biofuels,Dedicated storage,Northern Endurance Partnership,Europe & Central Asia
Limeco Waste-to-Energy Dietikon,Swizterland,"Limeco, Aker CC",Capture,2023,,Planned,,,Power and heat,Unknown/unspecified,,Europe & Central Asia
Lincolnway Energy Nevada biorefinery (IA),United States,"Lincolnway Energy, Summit Carbon Solutions",Capture,2021,2024,Planned,0.24,0.257,Biofuels,Dedicated storage,Midwest carbon express,North America
Linde Clear Lake HyCO Plant (TX),United States,"Linde (CO2 capture on CO production site, CCU tech), Celanese (operator of methanol plant), Fairway methanol",CCU,2022,2023,Operational,0.18,0.18,Chemicals,Use,,North America
Linde hydrogen plant for OCI fertilizer blue ammonia Beaumont (TX),United States,"Linde (owns, builds, operates), OCI (H2 demand)",Capture,2022,2025,Under construction,1.7,1.7,Hydrogen or ammonia,Dedicated storage,ExxonMobil Vermilion parish storage,North America
Linde-BASF capture SMR plant Covent (LA),United States,Praxair,Capture,2020,,Planned,1.361,1.361,Hydrogen or ammonia,Unknown/unspecified,,North America
Linden (IN),United States,Vault,Storage,2023,,Planned,,,Storage,Unknown/unspecified,,North America
LIPOR Maia Energy Recovery Plant PtL facility,Portugal,"LIPOR (Intermunicipal Waste Management of Greater Porto), P2X Europe and Veolia",CCU,2022,,Planned,0.1,0.1,Power and heat,Use,,Europe & Central Asia
Little Sioux Corn Processors Marcus biorefinery (IA),United States,"Little Sioux Corn Processors, Summit Carbon Solutions",Capture,2021,2025,Planned,0.425,0.458,Biofuels,Dedicated storage,Midwest carbon express,North America
Lloydminster Upgrader,Canada,Cenovus,Capture,2023,,Planned,,,Other fuel transformation,Unknown/unspecified,,North America
Lone Star Storage Hub Project (Jasper) (TX),United States,"BP carbon solutions, Linde (capture/CO2 supplier)",T&S,2022,2026,Planned,15,15,T&S,Dedicated storage,Lone Star Storage Hub Project (Jasper) (TX),North America
Longford gas plant,Australia,ExxonMobil,Capture,2022,2025,Planned,2,2,Natural gas processing/LNG,Dedicated storage,Sea CCS hub,East Asia & Pacific
Longleaf CCS (AL),United States,"Tenaska, Southern States Energy Board",Storage,2023,2026,Planned,2.6,2.6,Storage,Dedicated storage,Longleaf CCS (AL),North America
Lorain CCS (OH) ,United States,Lorain Carbon Zero Solutions,Storage,2021,,Planned,,,Storage,Dedicated storage,,North America
Lost Cabin Gas Plant (WY),United States,"Contango Oil & Gas (bought plant in 2021 from Conocophillips), ExxonMobil (formerly Denbury)",Full chain,2010,2013,Operational,0.9,0.9,Natural gas processing/LNG,EOR,,North America
Louis Dreyfus Grand Junction biorefinery (IA),United States,"Louis Dreyfus Grand Junction, Summit Carbon Solutions",Capture,2021,2024,Planned,0.315,0.343,Biofuels,Dedicated storage,Midwest carbon express,North America
Louis Dreyfus Norfolk biorefinery (IA),United States,"Louis Dreyfus Norfolk, Summit Carbon Solutions",Capture,2021,2024,Planned,0.14,0.152,Biofuels,Dedicated storage,Midwest carbon express,North America
Louisiana Green Fuels Project  (LA),United States,"Strategic Biofuels LLC, Louisianna Green Fuels, SLB",Full chain,2021,2027,Planned,1.36,1.36,Biofuels,Dedicated storage,,North America
Lyse Forus Energigjenvinning Stavanger ,Norway,"Lyse, Forus Energi, Aker CC (tech)",Capture,2021,2024,Planned,0.1,0.1,Power and heat,Dedicated storage,,Europe & Central Asia
Magnolia sequestration hub (Allen Parish) (LA),United States,Magnolia sequestration hub llc (Oxy low carbon ventures (Occidental)),T&S,2020,,Planned,4,4,T&S,Dedicated storage,Magnolia sequestration hub,North America
Marquis Industrial Complex (IL),United States,"Marquis Inc., Gas Liquids Engineering Ltd (FEED)",Full chain,2022,,Planned,1.2,1.2,Biofuels,Dedicated storage,,North America
Maskwa Project (ALB),Canada, Kiwetinohk Energy Corp.,Storage,2022,,Planned,,,Storage,Dedicated storage,Maskwa Project (ALB),North America
Meadowbrook storage hub (ALB),Canada,"Bison Low Carbon Ventures , Enerflex, PrairieSky Royalty, IRC Enterprises, Marubeni Corporation",Storage,2022,2024,Planned,3,3,Storage,Dedicated storage,Meadowbrook storage hub (ALB),North America
Medway CCGT power station,United Kingdom,Oilex,Capture,2022,,Planned,,,Power and heat,Dedicated storage,Medway Hub CCS,Europe & Central Asia
Medway Hub CCS,United Kingdom,Synergia Energy Ltd (50%) and Wintershall Dea (50%),T&S,2022,2032,Planned,6,6,T&S,Dedicated storage,Medway Hub CCS,Europe & Central Asia
MEPAU Mid West CCUS hub,Australia,"Mitsui E&P Australia (MEPAU), JOGMEC",Full chain,2021,2028,Planned,,,Hydrogen or ammonia,Dedicated storage,Mid West CCUS hub,East Asia & Pacific
Merritt Electrofuels Project DAC (BC),Canada,"Huron Clean Energy , Oxy Low Carbon Ventures, Upper Nicola Band and Carbon Engineering  (Oxy)",CCU,2021,2026,Planned,0.25,0.25,DAC,Use,,North America
Metropolitan Area CCS - Nippon steel plant,Japan,"INPEX Corporation, Nippon Steel Corporation, Kanto Natural Gas Development Co., Ltd.",Capture,2023,2030,Planned,,,Iron and steel,Dedicated storage,Metropolitan Area CCS,East Asia & Pacific
Metropolitan Area CCS (capture sources under evaluation),Japan,"INPEX Corporation, Nippon Steel Corporation, Kanto Natural Gas Development Co., Ltd.",T&S,2023,2030,Planned,1,1,T&S,Dedicated storage,Metropolitan Area CCS,East Asia & Pacific
Mid West Clean Energy Project,Australia,"Pilot Energy, Warrego Energy, APA group, KNCC (Transportation
",Capture,2021,2025,Planned,,,Hydrogen or ammonia,Dedicated storage,Cliff Head CCS Project,East Asia & Pacific
Midland Basin project: Dusek CCS (TX),United States,"Milestone carbon (Milestone Envrionmental services), Texas Pacific Land Corporation ",Storage,2023,2025,Planned,,,Storage,Dedicated storage,Midland Basin project (TX),North America
Midwest AgEnergy Blue Flint ethanol (ND),United States,"Blue Flint Sequester Company LLC, Harvestone Low Carbon Partners, Ag Energy Group LLC ",Full chain,2020,2023,Operational,0.2,0.2,Biofuels,Dedicated storage,,North America
"Midwest Carbon Express (NE, SD, ND, MI, IA)",United States,Summit carbon solutions (SK E&S 10%),T&S,2021,2025,Planned,12,12,T&S,Dedicated storage,Midwest carbon express,North America
Mikawa Power Plant BECCS Fukuoka Prefecture,Japan,"SIGMA Power Ariake (Toshiba), ESS",Capture,2016,2020,Operational,0.18,0.18,Power and heat,Unknown/unspecified,,East Asia & Pacific
Mineral carbonation international Carbon Plant demonstrator,Australia,Mineral Carbonation International,CCU,2021,2024,Under construction,0.3,0.3,Chemicals,Use,,East Asia & Pacific
Minerva (LA),United States,Gulf Coast Sequestration ,Storage,2022,,Planned,,,Storage,Unknown/unspecified,Gulf Coast Sequestration Hub(LA),North America
Minnedosa Ethanol Plant (MB),Canada,Cenovus,Capture,2022,,Planned,,,Biofuels,Unknown/unspecified,,North America
Mission Zero Technologies pilot 2,Oman,Mission Zero Technologies,Capture,,2024,Planned,0,0.002,DAC,Dedicated storage,,Middle East & North Africa
Mitchell CarbonSAFE (IN),United States,"Illinois State Geological Survey, Heidelberg Materials, Projeo, IGS, University of Illinois",Storage,2023,,Planned,1.667,1.667,Storage,Dedicated storage,Mitchell CarbonSAFE (IL),North America
MOL Szank field CO2 EOR,Hungary,MOL group,Full chain,,1992,Operational,0.16,0.16,Natural gas processing/LNG,EOR,,Europe & Central Asia
Monkey Island carbon storage project (LA),United States,Advanced Resources International Inc.,Storage,2023,,Planned,,,Storage,Dedicated storage,Monkey Island carbon storage project (LA),North America
Montauk Energy biogas plants (TX),United States,"Montauk Renewables, EE North America (European Energy)",CCU,2023,,Planned,0.14,0.14,Biofuels,Use,,North America
Montezuma NorCal Carbon Hub (CA),United States,"Montezuma Carbon LLC, University of Berkeley, Lawrence Berkeley National Lab",T&S,2023,,Planned,1,1,T&S,Dedicated storage,,North America
Moomba Carbon Capture and Storage,Australia,"Santos, Beach Energy",Full chain,2019,2024,Under construction,1.7,1.7,Natural gas processing/LNG,Dedicated storage,Moomba CCS storage hub,East Asia & Pacific
Moomba CCS storage hub (phase 2),Australia,"Santos, JX Nippon Oil & Gas Exploration Corporation, ENEOS",T&S,2023,2030,Planned,3.3,3.3,T&S,Dedicated storage,Moomba CCS storage hub,East Asia & Pacific
Moomba CCS storage hub (phase 3),Australia,"Santos,  JX Nippon Oil & Gas Exploration Corporation, ENEOS",T&S,2023,2035,Planned,5,5,T&S,Dedicated storage,Moomba CCS storage hub,East Asia & Pacific
Moomba CCS storage hub (phase 4),Australia,"Santos,  JX Nippon Oil & Gas Exploration Corporation, ENEOS",T&S,2023,2040,Planned,10,10,T&S,Dedicated storage,Moomba CCS storage hub,East Asia & Pacific
Moraine (GE) Power Generation (ALB),Canada,Moraine Initiative Ltd (GE),Capture,2022,2027,Planned,,,Power and heat,Dedicated storage,Athabasca Banks Carbon Hub (ALB),North America
Morecambe Net Zero Cluster,United Kingdom,Spirit Energy (Centrica and Stadtwerke Mucnchen GmbH joint venture),T&S,2023,2030,Planned,5,5,T&S,Dedicated storage,Morecambe Net Zero Cluster,Europe & Central Asia
Mote biomass-to-hydrogen plant (CA),United States,"Mote, CarbonCure, Fluor Corporation, SungasRenewables",Capture,2021,2025,Planned,0.14,0.14,Hydrogen or ammonia,Mixed,,North America
"Mote biomass-to-hydrogen plant, 2nd facility (CA)",United States,Mote,Capture,2023,,Planned,0.45,0.45,Hydrogen or ammonia,Dedicated storage,,North America
Motor Oil Hellas (Iris),Greece,Motor Oil,Capture,2023,2029,Planned,0.495,0.495,Other fuel transformation,Dedicated storage,,Europe & Central Asia
MoU ADNOC ENEOS Mitsui Ruwais Industrial Area,United Arab Emirates,"ADNOC, ENEOS, Mitsui",Capture,2022,,Planned,0.46,0.46,Chemicals,Unknown/unspecified,,Middle East & North Africa
Mountaineer Gigasystem (WV) Phase 1,United States,"Fidelis new energy, State of West Virginia, MCDA, West Virginia University, West Virginia DNR,WVGES, Babcock & Wilcox, Topsoe, Battelle Carbon Services (Storage)",Capture,2023,2028,Planned,,1.7,Hydrogen or ammonia,Dedicated storage,"CO2NNECTION Central Appalachian Basin hub/Appalachian basin storage MoU (OH, PA, WV)",North America
Mountaineer Gigasystem (WV) Phase 2,United States,"Fidelis new energy, State of West Virginia, MCDA, West Virginia University, West Virginia DNR,WVGES, Babcock & Wilcox, Topsoe, Battelle Carbon Services (Storage)",Capture,2023,,Planned,,1.7,Hydrogen or ammonia,Dedicated storage,"CO2NNECTION Central Appalachian Basin hub/Appalachian basin storage MoU (OH, PA, WV)",North America
Mountaineer Gigasystem (WV) Phase 3,United States,"Fidelis new energy, State of West Virginia, MCDA, West Virginia University, West Virginia DNR,WVGES, Babcock & Wilcox, Topsoe, Battelle Carbon Services (Storage)",Capture,2023,,Planned,,1.7,Hydrogen or ammonia,Dedicated storage,"CO2NNECTION Central Appalachian Basin hub/Appalachian basin storage MoU (OH, PA, WV)",North America
Mountaineer Gigasystem (WV) Phase 4,United States,"Fidelis new energy, State of West Virginia, MCDA, West Virginia University, West Virginia DNR,WVGES, Babcock & Wilcox, Topsoe, Battelle Carbon Services (Storage)",Capture,2023,,Planned,,1.7,Hydrogen or ammonia,Dedicated storage,"CO2NNECTION Central Appalachian Basin hub/Appalachian basin storage MoU (OH, PA, WV)",North America
Mt Simon Hub CCS Pipeline (IA),United States,"ADM, Wolf Carbon Solutions (Wolf Midstream)",Transport,2022,,Planned,12,12,Transport,Dedicated storage,Mt Simon Hub CCS Pipeline (IA),North America
Multi-user Burrup CCUS hub and network (Karratha CCS Project),Australia,"Woodside, bp, Shell, Chevron, MIMI (50/50 Mitsubishi and Mitsui)",T&S,2022,,Planned,,,T&S,Dedicated storage,Burrup CCUS hub,East Asia & Pacific
Mustang Station Carbon Capture (TX),United States,"Golden Spread Electric Cooperative,  University of Texas at Austin ",Full chain,2019,2025,Planned,1.5,1.5,Power and heat,Dedicated storage,,North America
Nagoya port cluster (capture sources under evaluation),Japan,"BP, Chubu Electric",T&S,2023,,Planned,,,T&S,Unknown/unspecified,Nagoya port cluster,East Asia & Pacific
Nairyah1 and Nairyah 2 plants,Saudi Arabia,SPPC,Capture,2024,,Planned,,2.861,Power and heat,Unknown/unspecified,,Middle East & North Africa
Nanhai petrochemical plant-Capture for Daya bay CCS (Guangdong),China,Shell,Capture,2022,,Planned,,,Chemicals,Dedicated storage,Daya bay CCS Hub,East Asia & Pacific
Navigator Terminal train,United Kingdom,"Enfinium, Navigator CO2, Bechtel (feasibility)",Transport,2023,,Planned,,,Transport,Dedicated storage,Northern Endurance Partnership,Europe & Central Asia
Neau Lime plant,France,Lhoist,Capture,2023,2030,Planned,,1.6,Cement,Dedicated storage,GoCO2,Europe & Central Asia
Net Power Odessa gas plant (TX),United States,"Net Power, Oxy low carbon ventures (Occidental) (T&S), 8 Rivers capital (funding)",Capture,2022,2026,Planned,,,Power and heat,Dedicated storage,,North America
Net Zero Teesside Power,United Kingdom,"BP, Equinor",Capture,2018,2027,Planned,2,2,Power and heat,Dedicated storage,Northern Endurance Partnership,Europe & Central Asia
Net-zero Hydrogen Energy Complex (ALB),Canada,"Air Products, Baker Hughes",Capture,2021,2024,Under construction,,,Hydrogen or ammonia,Unknown/unspecified,Alberta Carbon Trunk Line (ACTL),North America
NextDecade Rio Grande LNG (TX),United States,"NextDecade, Mitsubishi HI (ESA/Tech)",Capture,2021,2025,Planned,5,5,Natural gas processing/LNG,Unknown/unspecified,BlueBonnet sequestration hub (TX),North America
Nihon Shipyard Mistubishi Shipbuilding JV LCO2 carrier,Japan,"Mitsubishi Shipbuilding (Mitsubishi Heavy Industries (MHI)) Group,Nihon Shipyard Co.",Transport,2023,2027,Planned,,,Transport,Unknown/unspecified,,East Asia & Pacific
NL CCS Direct Injection (Noordkaap),Netherlands,"Eni (following acquisition of Neptune Energy), EBN, ExxonMobil, Tenaz Energy & Cape Omega",T&S,2023,2030,Planned,8,8,T&S,Dedicated storage,Noorkaap,Europe & Central Asia
Nordbex Aker feasibility study,Sweden,"Aker CC, Nordbex AB",Capture,2023,,Planned,0.2,0.2,Power and heat,Dedicated storage,,Europe & Central Asia
Norske Skog Saugbrugs (Borg CO2),Norway,"Borg Havn, Norske Skog Saugbrugs",Capture,2019,2035,Planned,0.15,0.15,Other industry,Dedicated storage,Northern Lights,Europe & Central Asia
North Dakota CarbonSAFE (ND),United States,"Summit carbon solutions, Minnkota Power Cooperative, Inc., University of North Dakota EERC (data from CarbonSafe used for project)",Storage,2017,,Planned,4.99,4.99,Storage,Dedicated storage,North Dakota CarbonSAFE (ND),North America
North Drumheller Hub (ALB),Canada, Bison Low Carbon Ventures Inc. ,Storage,2022,,Planned,3,3,Storage,Dedicated storage,North Drumheller Hub (ALB),North America
North East Alliance blue ammonia Yakutia Phase 1,Russia,"North East Alliance, Gas production companies in Western Yakutia
",Full chain,2021,2026,Planned,,,Hydrogen or ammonia,EOR,,Europe & Central Asia
North East Alliance blue ammonia Yakutia Phase 2,Russia,"North East Alliance, Gas production companies in Western Yakutia
",Full chain,2021,2030,Planned,,,Hydrogen or ammonia,EOR,,Europe & Central Asia
North Lincolnshire NLGEP,United Kingdom,Solar 21 Renewable Energy Limited,Capture,2021,,Planned,,,Power and heat,Dedicated storage,Northern Endurance Partnership,Europe & Central Asia
North Sea CO2 corridor,Belgium,"Wintershell dea, Fluxys, OGE",Transport,2023,2030,Planned,30,30,Transport,Dedicated storage,Wintershell dea-Fluxys belgium-germany pipeline,Europe & Central Asia
Northern Endurance Partnership phase 1,United Kingdom,"BP, Equinor, TotalEnergies (partners), Worley (technical advisors), Costain (FEED transport)",T&S,2018,2027,Planned,4,4,T&S,Dedicated storage,Northern Endurance Partnership,Europe & Central Asia
Northern Endurance Partnership phase 2,United Kingdom,"BP, Equinor, TotalEnergies (partners), Worley (technical advisors), Costain (FEED transport)",T&S,2019,,Planned,4,4,T&S,Dedicated storage,,Europe & Central Asia
Northern Endurance Partnership phase 3,United Kingdom,"BP, Equinor, TotalEnergies (partners), Worley (technical advisors), Costain (FEED transport)",T&S,2020,,Planned,2,2,T&S,Dedicated storage,,Europe & Central Asia
Northern Gulf of Thailand CCS Exploration project,Thailand,"PTTEP, INPEX (under cooperation between Thai Department of Mineral Fuels and JOGMEC)",Storage,2024,,Planned,,,Storage,Dedicated storage,,East Asia & Pacific
Northern Lights Phase 1,Norway,"Shell (33.3%), TotalEnergies (33.3%), Equinor (33.3%)",T&S,2017,2024,Under construction,1.5,1.5,T&S,Dedicated storage,Northern Lights,Europe & Central Asia
Northern Lights Phase 2,Norway,"Shell (33.3%), TotalEnergies (33.3%), Equinor (33.3%)",T&S,2017,2026,Planned,3.7,3.7,T&S,Dedicated storage,Northern Lights,Europe & Central Asia
Northern Plains Nitrogen Blue ammonia (ND),United States,"Northern Plains Nitrogen, Summit Carbon Solutions (T&S)",Capture,2013,,Planned,0.5,0.5,Chemicals,Dedicated storage,Midwest carbon express,North America
Northern to Western Kyushu Offshore CCS - Eneos refinery,Japan,"Eneos Holdings, J-Power, JX",Full chain,2022,2030,Planned,,,Other fuel transformation,Dedicated storage,Northern to Western Kyushu Offshore CCS,East Asia & Pacific
Northern to Western Kyushu Offshore CCS - J-Power power plant,Japan,J-Power,Full chain,2022,2030,Planned,,,Power and heat,Dedicated storage,Northern to Western Kyushu Offshore CCS,East Asia & Pacific
Northern to Western Kyushu Offshore CCS (capture sources under evaluation),Japan,"ENEOS Corporation, JX Nippon Oil & Gas Exploration Corporation, Electric Power Development Co.,Ltd. (J-POWER)",T&S,2023,2030,Planned,3,3,T&S,Dedicated storage,Northern to Western Kyushu Offshore CCS,East Asia & Pacific
Norvik Infrastructure CCS East (NICE),Sweden,"Ports of Stockhom,  Stockholm Exergi, Mälarenergi, Söderenergi, Vattenfall, Heidelberg Materials, Nordkalk, and Plagazi ",Transport,2023,,Planned,9,9,Transport,Dedicated storage,Norvik Infrastructure CCS East (NICE),Europe & Central Asia
Novatek Obskiy Gas Chemical Complex Blue ammonia,Russia,Novatek,Full chain,2021,2027,Planned,,,Hydrogen or ammonia,Dedicated storage,,Europe & Central Asia
